x,y,TOTAL_SNOW_FLAG,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_DAY,PROVINCE_CODE,MEAN_TEMPERATURE_FLAG,TOTAL_SNOW,LOCAL_DATE,SPEED_MAX_GUST_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_RAIN,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE,MEAN_TEMPERATURE,STATION_NAME,MIN_REL_HUMIDITY_FLAG,LOCAL_MONTH,TOTAL_PRECIPITATION_FLAG,MAX_TEMPERATURE,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,LOCAL_YEAR,ID,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,MAX_REL_HUMIDITY
-122.551,49.144666666666666,,T,,,,25,BC,,0,2021-03-25 00:00:00,,,9.7,0,,0,0,,4.5,8.3,FORT LANGLEY TELEGRAPH TRAIL,,3,T,12,,,2021,1102912.2021.3.25,1102912,,,0,
-122.551,49.144666666666666,,,,,,26,BC,,0,2021-03-26 00:00:00,,,11,0,,0,0,,3.5,7,FORT LANGLEY TELEGRAPH TRAIL,,3,,10.5,,,2021,1102912.2021.3.26,1102912,,,0,
-122.551,49.144666666666666,,,,,,27,BC,,0,2021-03-27 00:00:00,,,10.2,0,,11,11,,5.5,7.8,FORT LANGLEY TELEGRAPH TRAIL,,3,,10,,,2021,1102912.2021.3.27,1102912,,,0,
-122.551,49.144666666666666,,,,,,28,BC,,0,2021-03-28 00:00:00,,,11,0,,4,4,,4,7,FORT LANGLEY TELEGRAPH TRAIL,,3,,10,,,2021,1102912.2021.3.28,1102912,,,0,
-122.551,49.144666666666666,,,,,,29,BC,,0,2021-03-29 00:00:00,,,13.2,0,,0.4,0.4,,-1,4.8,FORT LANGLEY TELEGRAPH TRAIL,,3,,10.5,,,2021,1102912.2021.3.29,1102912,,,0,
-122.551,49.144666666666666,,,,,,30,BC,,0,2021-03-30 00:00:00,,,12,0,,0,0,,2,6,FORT LANGLEY TELEGRAPH TRAIL,,3,,10,,,2021,1102912.2021.3.30,1102912,,,0,
-122.551,49.144666666666666,,,,,,31,BC,,0,2021-03-31 00:00:00,,,10.7,0,,0,0,,-0.5,7.3,FORT LANGLEY TELEGRAPH TRAIL,,3,,15,,,2021,1102912.2021.3.31,1102912,,,0,
-122.551,49.144666666666666,,T,,,,1,BC,,0,2021-04-01 00:00:00,,,9.5,0,,0,0,,4.5,8.5,FORT LANGLEY TELEGRAPH TRAIL,,4,T,12.5,,,2021,1102912.2021.4.1,1102912,,,0,
-122.551,49.144666666666666,,,,,,2,BC,,0,2021-04-02 00:00:00,,,10,0,,0.4,0.4,,5,8,FORT LANGLEY TELEGRAPH TRAIL,,4,,11,,,2021,1102912.2021.4.2,1102912,,,0,
-122.551,49.144666666666666,,,,,,3,BC,,0,2021-04-03 00:00:00,,,9.7,0,,1.2,1.2,,5.5,8.3,FORT LANGLEY TELEGRAPH TRAIL,,4,,11,,,2021,1102912.2021.4.3,1102912,,,0,
-122.551,49.144666666666666,,,,,,4,BC,,0,2021-04-04 00:00:00,,,10.2,0,,0,0,,4.5,7.8,FORT LANGLEY TELEGRAPH TRAIL,,4,,11,,,2021,1102912.2021.4.4,1102912,,,0,
-122.551,49.144666666666666,,,,,,5,BC,,0,2021-04-05 00:00:00,,,12.2,0,,0,0,,-0.5,5.8,FORT LANGLEY TELEGRAPH TRAIL,,4,,12,,,2021,1102912.2021.4.5,1102912,,,0,
-122.551,49.144666666666666,,,,,,6,BC,,0,2021-04-06 00:00:00,,,10.5,0,,0,0,,1,7.5,FORT LANGLEY TELEGRAPH TRAIL,,4,,14,,,2021,1102912.2021.4.6,1102912,,,0,
-122.551,49.144666666666666,,,,,,7,BC,,0,2021-04-07 00:00:00,,,12,0,,4,4,,5,6,FORT LANGLEY TELEGRAPH TRAIL,,4,,7,,,2021,1102912.2021.4.7,1102912,,,0,
-122.551,49.144666666666666,,T,,,,8,BC,,0,2021-04-08 00:00:00,,,10.5,0,,0,0,,3.5,7.5,FORT LANGLEY TELEGRAPH TRAIL,,4,T,11.5,,,2021,1102912.2021.4.8,1102912,,,0,
-122.551,49.144666666666666,,,,,,9,BC,,0,2021-04-09 00:00:00,,,11.7,0,,2.6,2.6,,5,6.3,FORT LANGLEY TELEGRAPH TRAIL,,4,,7.5,,,2021,1102912.2021.4.9,1102912,,,0,
-122.551,49.144666666666666,,,,,,10,BC,,0,2021-04-10 00:00:00,,,12,0,,0.4,0.4,,2,6,FORT LANGLEY TELEGRAPH TRAIL,,4,,10,,,2021,1102912.2021.4.10,1102912,,,0,
-122.551,49.144666666666666,,,,,,11,BC,,0,2021-04-11 00:00:00,,,11.7,0,,0,0,,0.5,6.3,FORT LANGLEY TELEGRAPH TRAIL,,4,,12,,,2021,1102912.2021.4.11,1102912,,,0,
-122.551,49.144666666666666,,,,,,12,BC,,0,2021-04-12 00:00:00,,,10.7,0,,0,0,,-0.5,7.3,FORT LANGLEY TELEGRAPH TRAIL,,4,,15,,,2021,1102912.2021.4.12,1102912,,,0,
-122.551,49.144666666666666,,,,,,13,BC,,0,2021-04-13 00:00:00,,,6.5,0,,0,0,,3.5,11.5,FORT LANGLEY TELEGRAPH TRAIL,,4,,19.5,,,2021,1102912.2021.4.13,1102912,,,0,
-122.551,49.144666666666666,,,,,,14,BC,,0,2021-04-14 00:00:00,,,4.7,0,,0,0,,3.5,13.3,FORT LANGLEY TELEGRAPH TRAIL,,4,,23,,,2021,1102912.2021.4.14,1102912,,,0,
-122.551,49.144666666666666,,,,,,15,BC,,0,2021-04-15 00:00:00,,,3.5,0,,0,0,,5,14.5,FORT LANGLEY TELEGRAPH TRAIL,,4,,24,,,2021,1102912.2021.4.15,1102912,,,0,
-122.551,49.144666666666666,,,,,,16,BC,,0,2021-04-16 00:00:00,,,3.2,0,,0,0,,5,14.8,FORT LANGLEY TELEGRAPH TRAIL,,4,,24.5,,,2021,1102912.2021.4.16,1102912,,,0,
-122.551,49.144666666666666,,,,,,17,BC,,0,2021-04-17 00:00:00,,,1.7,0,,0,0,,7.5,16.3,FORT LANGLEY TELEGRAPH TRAIL,,4,,25,,,2021,1102912.2021.4.17,1102912,,,0,
-122.551,49.144666666666666,,,,,,18,BC,,0,2021-04-18 00:00:00,,,2.2,0,,0,0,,7,15.8,FORT LANGLEY TELEGRAPH TRAIL,,4,,24.5,,,2021,1102912.2021.4.18,1102912,,,0,
-122.551,49.144666666666666,,,,,,19,BC,,0,2021-04-19 00:00:00,,,0,1,,0,0,,14.5,19,FORT LANGLEY TELEGRAPH TRAIL,,4,,23.5,,,2021,1102912.2021.4.19,1102912,,,0,
-122.551,49.144666666666666,,,,,,20,BC,,0,2021-04-20 00:00:00,,,4.7,0,,0,0,,5,13.3,FORT LANGLEY TELEGRAPH TRAIL,,4,,21.5,,,2021,1102912.2021.4.20,1102912,,,0,
-122.551,49.144666666666666,,,,,,21,BC,,0,2021-04-21 00:00:00,,,4.5,0,,0,0,,6,13.5,FORT LANGLEY TELEGRAPH TRAIL,,4,,21,,,2021,1102912.2021.4.21,1102912,,,0,
-122.551,49.144666666666666,,,,,,22,BC,,0,2021-04-22 00:00:00,,,5.7,0,,0,0,,6.5,12.3,FORT LANGLEY TELEGRAPH TRAIL,,4,,18,,,2021,1102912.2021.4.22,1102912,,,0,
-122.551,49.144666666666666,,,,,,23,BC,,0,2021-04-23 00:00:00,,,6.7,0,,2.4,2.4,,7,11.3,FORT LANGLEY TELEGRAPH TRAIL,,4,,15.5,,,2021,1102912.2021.4.23,1102912,,,0,
-122.551,49.144666666666666,,,,,,24,BC,,0,2021-04-24 00:00:00,,,8.2,0,,9,9,,8,9.8,FORT LANGLEY TELEGRAPH TRAIL,,4,,11.5,,,2021,1102912.2021.4.24,1102912,,,0,
-122.551,49.144666666666666,,,,,,25,BC,,0,2021-04-25 00:00:00,,,8,0,,3.8,3.8,,8,10,FORT LANGLEY TELEGRAPH TRAIL,,4,,12,,,2021,1102912.2021.4.25,1102912,,,0,
-122.551,49.144666666666666,,,,,,26,BC,,0,2021-04-26 00:00:00,,,6.2,0,,0.2,0.2,,7.5,11.8,FORT LANGLEY TELEGRAPH TRAIL,,4,,16,,,2021,1102912.2021.4.26,1102912,,,0,
-122.551,49.144666666666666,,T,,,,27,BC,,0,2021-04-27 00:00:00,,,6.7,0,,0,0,,7.5,11.3,FORT LANGLEY TELEGRAPH TRAIL,,4,T,15,,,2021,1102912.2021.4.27,1102912,,,0,
-122.551,49.144666666666666,,T,,,,28,BC,,0,2021-04-28 00:00:00,,,5.2,0,,0,0,,9.5,12.8,FORT LANGLEY TELEGRAPH TRAIL,,4,T,16,,,2021,1102912.2021.4.28,1102912,,,0,
-122.551,49.144666666666666,,,,,,29,BC,,0,2021-04-29 00:00:00,,,5.2,0,,4,4,,9.5,12.8,FORT LANGLEY TELEGRAPH TRAIL,,4,,16,,,2021,1102912.2021.4.29,1102912,,,0,
-122.551,49.144666666666666,,,,,,30,BC,,0,2021-04-30 00:00:00,,,3.5,0,,4.2,4.2,,10,14.5,FORT LANGLEY TELEGRAPH TRAIL,,4,,19,,,2021,1102912.2021.4.30,1102912,,,0,
-122.551,49.144666666666666,,,,,,1,BC,,0,2021-05-01 00:00:00,,,5.5,0,,0,0,,9,12.5,FORT LANGLEY TELEGRAPH TRAIL,,5,,16,,,2021,1102912.2021.5.1,1102912,,,0,
-122.551,49.144666666666666,,,,,,2,BC,,0,2021-05-02 00:00:00,,,6.7,0,,0,0,,5.5,11.3,FORT LANGLEY TELEGRAPH TRAIL,,5,,17,,,2021,1102912.2021.5.2,1102912,,,0,
-122.551,49.144666666666666,,,,,,3,BC,,0,2021-05-03 00:00:00,,,7.7,0,,3,3,,7,10.3,FORT LANGLEY TELEGRAPH TRAIL,,5,,13.5,,,2021,1102912.2021.5.3,1102912,,,0,
-122.551,49.144666666666666,,,,,,4,BC,,0,2021-05-04 00:00:00,,,4.7,0,,0,0,,9.5,13.3,FORT LANGLEY TELEGRAPH TRAIL,,5,,17,,,2021,1102912.2021.5.4,1102912,,,0,
-122.551,49.144666666666666,,,,,,5,BC,,0,2021-05-05 00:00:00,,,4.7,0,,0,0,,5.5,13.3,FORT LANGLEY TELEGRAPH TRAIL,,5,,21,,,2021,1102912.2021.5.5,1102912,,,0,
-122.551,49.144666666666666,,,,,,6,BC,,0,2021-05-06 00:00:00,,,2.2,0,,5.8,5.8,,12.5,15.8,FORT LANGLEY TELEGRAPH TRAIL,,5,,19,,,2021,1102912.2021.5.6,1102912,,,0,
-122.551,49.144666666666666,,,,,,7,BC,,0,2021-05-07 00:00:00,,,8,0,,5.2,5.2,,6.5,10,FORT LANGLEY TELEGRAPH TRAIL,,5,,13.5,,,2021,1102912.2021.5.7,1102912,,,0,
-122.551,49.144666666666666,,,,,,8,BC,,0,2021-05-08 00:00:00,,,7.7,0,,1,1,,7.5,10.3,FORT LANGLEY TELEGRAPH TRAIL,,5,,13,,,2021,1102912.2021.5.8,1102912,,,0,
-122.551,49.144666666666666,,,,,,9,BC,,0,2021-05-09 00:00:00,,,7,0,,0,0,,6,11,FORT LANGLEY TELEGRAPH TRAIL,,5,,16,,,2021,1102912.2021.5.9,1102912,,,0,
-122.551,49.144666666666666,,,,,,10,BC,,0,2021-05-10 00:00:00,,,6.2,0,,0,0,,6,11.8,FORT LANGLEY TELEGRAPH TRAIL,,5,,17.5,,,2021,1102912.2021.5.10,1102912,,,0,
-122.551,49.144666666666666,,,,,,11,BC,,0,2021-05-11 00:00:00,,,4.7,0,,0.6,0.6,,5,13.3,FORT LANGLEY TELEGRAPH TRAIL,,5,,21.5,,,2021,1102912.2021.5.11,1102912,,,0,
-122.551,49.144666666666666,,,,,,12,BC,,0,2021-05-12 00:00:00,,,3.2,0,,0.8,0.8,,10,14.8,FORT LANGLEY TELEGRAPH TRAIL,,5,,19.5,,,2021,1102912.2021.5.12,1102912,,,0,
-122.551,49.144666666666666,,,,,,13,BC,,0,2021-05-13 00:00:00,,,2.7,0,,0,0,,8.5,15.3,FORT LANGLEY TELEGRAPH TRAIL,,5,,22,,,2021,1102912.2021.5.13,1102912,,,0,
-122.551,49.144666666666666,,,,,,14,BC,,0,2021-05-14 00:00:00,,,2,0,,0,0,,9,16,FORT LANGLEY TELEGRAPH TRAIL,,5,,23,,,2021,1102912.2021.5.14,1102912,,,0,
