x,y,TOTAL_SNOW_FLAG,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_DAY,PROVINCE_CODE,MEAN_TEMPERATURE_FLAG,TOTAL_SNOW,LOCAL_DATE,SPEED_MAX_GUST_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_RAIN,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE,MEAN_TEMPERATURE,STATION_NAME,MIN_REL_HUMIDITY_FLAG,LOCAL_MONTH,TOTAL_PRECIPITATION_FLAG,MAX_TEMPERATURE,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,LOCAL_YEAR,ID,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,MAX_REL_HUMIDITY,ELEVATION
-122.551,49.144666666666666,,T,,,,25,BC,,0.0,2021-03-25 00:00:00,,,9.7,0.0,,0.0,0.0,,4.5,8.3,FORT LANGLEY TELEGRAPH TRAIL,,3,T,12.0,,,2021,1102912.2021.3.25,1102912,,,0.0,,76.0
-122.551,49.144666666666666,,,,,,26,BC,,0.0,2021-03-26 00:00:00,,,11.0,0.0,,0.0,0.0,,3.5,7.0,FORT LANGLEY TELEGRAPH TRAIL,,3,,10.5,,,2021,1102912.2021.3.26,1102912,,,0.0,,76.0
-122.551,49.144666666666666,,,,,,27,BC,,0.0,2021-03-27 00:00:00,,,10.2,0.0,,11.0,11.0,,5.5,7.8,FORT LANGLEY TELEGRAPH TRAIL,,3,,10.0,,,2021,1102912.2021.3.27,1102912,,,0.0,,76.0
-122.551,49.144666666666666,,,,,,28,BC,,0.0,2021-03-28 00:00:00,,,11.0,0.0,,4.0,4.0,,4.0,7.0,FORT LANGLEY TELEGRAPH TRAIL,,3,,10.0,,,2021,1102912.2021.3.28,1102912,,,0.0,,76.0
-122.551,49.144666666666666,,,,,,29,BC,,0.0,2021-03-29 00:00:00,,,13.2,0.0,,0.4,0.4,,-1.0,4.8,FORT LANGLEY TELEGRAPH TRAIL,,3,,10.5,,,2021,1102912.2021.3.29,1102912,,,0.0,,76.0
-122.551,49.144666666666666,,,,,,30,BC,,0.0,2021-03-30 00:00:00,,,12.0,0.0,,0.0,0.0,,2.0,6.0,FORT LANGLEY TELEGRAPH TRAIL,,3,,10.0,,,2021,1102912.2021.3.30,1102912,,,0.0,,76.0
-122.551,49.144666666666666,,,,,,31,BC,,0.0,2021-03-31 00:00:00,,,10.7,0.0,,0.0,0.0,,-0.5,7.3,FORT LANGLEY TELEGRAPH TRAIL,,3,,15.0,,,2021,1102912.2021.3.31,1102912,,,0.0,,76.0
-122.551,49.144666666666666,,T,,,,1,BC,,0.0,2021-04-01 00:00:00,,,9.5,0.0,,0.0,0.0,,4.5,8.5,FORT LANGLEY TELEGRAPH TRAIL,,4,T,12.5,,,2021,1102912.2021.4.1,1102912,,,0.0,,76.0
-122.551,49.144666666666666,,,,,,2,BC,,0.0,2021-04-02 00:00:00,,,10.0,0.0,,0.4,0.4,,5.0,8.0,FORT LANGLEY TELEGRAPH TRAIL,,4,,11.0,,,2021,1102912.2021.4.2,1102912,,,0.0,,76.0
-122.551,49.144666666666666,,,,,,3,BC,,0.0,2021-04-03 00:00:00,,,9.7,0.0,,1.2,1.2,,5.5,8.3,FORT LANGLEY TELEGRAPH TRAIL,,4,,11.0,,,2021,1102912.2021.4.3,1102912,,,0.0,,76.0
