city,province,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather
Iqaluit,Nunavut,2021-07-06 07:00:00,2021-07-06 06:31:24,2021-07-07 02:45:59,3.24,-1.41,1008,83,0.63,75,10000.0,6.17,320,Clouds
Iqaluit,Nunavut,2021-07-07 07:00:00,2021-07-07 06:33:42,2021-07-08 02:44:00,3.06,0.44,1010,86,0.95,20,10000.0,2.68,330,Clouds
Iqaluit,Nunavut,2021-07-08 07:00:00,2021-07-08 06:36:04,2021-07-09 02:41:55,4.7,4.7,1007,78,1.2,75,10000.0,0.0,0,Clouds
Iqaluit,Nunavut,2021-07-09 07:00:00,2021-07-09 06:38:32,2021-07-10 02:39:45,3.71,0.0,1002,100,3.71,100,3219.0,4.47,140,Rain
Iqaluit,Nunavut,2021-07-10 07:00:00,2021-07-10 06:41:03,2021-07-11 02:37:31,5.15,3.02,1005,94,4.27,100,9656.0,2.57,90,Mist
Iqaluit,Nunavut,2021-07-11 07:00:00,2021-07-11 06:43:38,2021-07-12 02:35:11,5.3,2.16,1012,84,2.82,75,10000.0,4.12,310,Clouds
Iqaluit,Nunavut,2021-07-12 07:00:00,2021-07-12 06:46:17,2021-07-13 02:32:47,7.74,4.7,1014,78,4.15,100,10000.0,5.14,300,Clouds
Iqaluit,Nunavut,2021-07-13 07:00:00,2021-07-13 06:48:59,2021-07-14 02:30:19,9.59,6.67,1012,71,4.6,100,10000.0,6.17,140,Rain
Iqaluit,Nunavut,2021-07-14 07:00:00,2021-07-14 06:51:44,2021-07-15 02:27:48,6.66,3.89,1003,93,5.61,100,10000.0,4.02,320,Rain
Iqaluit,Nunavut,2021-07-15 07:00:00,2021-07-15 06:54:32,2021-07-16 02:25:12,6.5,5.33,1009,84,4.0,40,10000.0,1.79,330,Clouds
Iqaluit,Nunavut,2021-07-16 07:00:00,2021-07-16 06:57:22,2021-07-17 02:22:33,9.8,8.91,1006,79,6.34,75,10000.0,2.06,330,Clouds
Iqaluit,Nunavut,2021-07-17 07:00:00,2021-07-17 07:00:15,2021-07-18 02:19:51,9.97,9.97,1011,81,6.86,40,10000.0,1.03,0,Clouds
Iqaluit,Nunavut,2021-07-18 07:00:00,2021-07-18 07:03:09,2021-07-19 02:17:07,8.08,3.81,1002,75,3.92,100,10000.0,9.39,160,Rain
Iqaluit,Nunavut,2021-07-19 07:00:00,2021-07-19 07:06:06,2021-07-20 02:14:19,4.57,1.07,1000,78,1.07,100,10000.0,4.47,250,Clouds
Iqaluit,Nunavut,2021-07-20 07:00:00,2021-07-20 07:09:04,2021-07-21 02:11:28,5.92,3.22,1005,86,3.76,100,10000.0,3.6,160,Clouds
Iqaluit,Nunavut,2021-07-21 07:00:00,2021-07-21 07:12:03,2021-07-22 02:08:36,5.31,1.76,1006,86,3.16,75,10000.0,4.92,340,Clouds
Iqaluit,Nunavut,2021-07-22 07:00:00,2021-07-22 07:15:04,2021-07-23 02:05:41,5.21,0.9,1008,90,3.71,100,10000.0,6.69,320,Rain
Iqaluit,Nunavut,2021-07-23 07:00:00,2021-07-23 07:18:05,2021-07-24 02:02:43,8.58,7.49,1008,87,6.54,75,10000.0,2.06,330,Rain
Iqaluit,Nunavut,2021-07-24 07:00:00,2021-07-24 07:21:08,2021-07-25 01:59:44,7.2,7.2,1006,81,4.16,75,10000.0,1.03,120,Clouds
Iqaluit,Nunavut,2021-07-25 07:00:00,2021-07-25 07:24:12,2021-07-26 01:56:43,10.9,10.16,993,81,7.77,75,10000.0,5.14,140,Clouds
Iqaluit,Nunavut,2021-07-26 07:00:00,2021-07-26 07:27:16,2021-07-27 01:53:40,7.12,5.36,995,93,6.07,40,10000.0,2.57,120,Clouds
Iqaluit,Nunavut,2021-07-27 07:00:00,2021-07-27 07:30:21,2021-07-28 01:50:35,9.75,8.85,1003,76,5.73,100,10000.0,2.06,320,Clouds
Iqaluit,Nunavut,2021-07-28 07:00:00,2021-07-28 07:33:26,2021-07-29 01:47:29,5.27,3.16,1011,78,1.75,40,10000.0,2.57,330,Clouds
Iqaluit,Nunavut,2021-07-29 07:00:00,2021-07-29 07:36:32,2021-07-30 01:44:22,6.48,6.48,1014,84,3.98,20,10000.0,0.89,330,Clouds
Iqaluit,Nunavut,2021-07-30 07:00:00,2021-07-30 07:39:37,2021-07-31 01:41:12,9.63,9.63,1012,81,6.53,75,10000.0,0.0,0,Clouds
Iqaluit,Nunavut,2021-07-31 07:00:00,2021-07-31 07:42:43,2021-08-01 01:38:02,9.99,8.19,1010,64,3.5,100,10000.0,3.58,330,Clouds
Iqaluit,Nunavut,2021-08-01 07:00:00,2021-08-01 07:45:50,2021-08-02 01:34:50,10.09,8.77,1013,62,3.15,75,10000.0,3.6,80,Clouds
Iqaluit,Nunavut,2021-08-02 07:00:00,2021-08-02 07:48:56,2021-08-03 01:31:37,9.9,9.9,1000,93,8.82,100,10000.0,0.0,0,Rain
Iqaluit,Nunavut,2021-08-03 07:00:00,2021-08-03 07:52:02,2021-08-04 01:28:23,7.18,7.18,1002,93,6.13,100,604.0,0.0,0,Fog
Iqaluit,Nunavut,2021-08-04 07:00:00,2021-08-04 07:55:08,2021-08-05 01:25:08,6.59,2.51,998,93,5.54,75,10000.0,7.15,140,Rain
Iqaluit,Nunavut,2021-08-05 07:00:00,2021-08-05 07:58:13,2021-08-06 01:21:52,5.95,4.42,996,75,1.86,75,10000.0,2.06,270,Rain
Iqaluit,Nunavut,2021-08-06 07:00:00,2021-08-06 08:01:19,2021-08-07 01:18:35,5.02,1.4,995,72,0.4,100,10000.0,4.92,190,Rain
Iqaluit,Nunavut,2021-08-07 07:00:00,2021-08-07 08:04:24,2021-08-08 01:15:17,4.09,2.24,997,87,2.12,100,10000.0,2.06,300,Rain
Iqaluit,Nunavut,2021-08-08 07:00:00,2021-08-08 08:07:29,2021-08-09 01:11:58,6.16,3.22,1004,87,4.16,75,10000.0,4.12,330,Clouds
Iqaluit,Nunavut,2021-08-09 07:00:00,2021-08-09 08:10:33,2021-08-10 01:08:39,9.54,6.77,1001,71,4.55,100,10000.0,5.66,180,Clouds
Iqaluit,Nunavut,2021-08-10 07:00:00,2021-08-10 08:13:37,2021-08-11 01:05:19,6.52,3.41,999,76,2.6,75,10000.0,4.63,230,Clouds
Iqaluit,Nunavut,2021-08-11 07:00:00,2021-08-11 08:16:41,2021-08-12 01:01:57,4.68,2.46,1013,93,3.65,75,10000.0,2.57,150,Clouds
Iqaluit,Nunavut,2021-08-12 07:00:00,2021-08-12 08:19:44,2021-08-13 00:58:36,7.48,3.33,1002,93,6.42,100,10000.0,8.23,150,Rain
Iqaluit,Nunavut,2021-08-13 07:00:00,2021-08-13 08:22:47,2021-08-14 00:55:13,10.05,9.54,991,93,8.97,100,6437.0,6.17,130,Mist
Iqaluit,Nunavut,2021-08-14 07:00:00,2021-08-14 08:25:49,2021-08-15 00:51:50,8.35,5.27,995,87,6.32,100,10000.0,5.66,140,Rain
Iqaluit,Nunavut,2021-08-15 07:00:00,2021-08-15 08:28:51,2021-08-16 00:48:27,5.96,5.96,1007,93,4.92,100,10000.0,1.03,0,Rain
Iqaluit,Nunavut,2021-08-16 07:00:00,2021-08-16 08:31:52,2021-08-17 00:45:02,5.55,3.1,1004,93,4.51,100,10000.0,3.09,150,Clouds
Iqaluit,Nunavut,2021-08-17 07:00:00,2021-08-17 08:34:52,2021-08-18 00:41:38,6.98,6.16,994,100,6.98,100,2414.0,1.54,140,Rain
Iqaluit,Nunavut,2021-08-18 07:00:00,2021-08-18 08:37:52,2021-08-19 00:38:12,6.09,6.09,1006,87,4.09,100,10000.0,1.03,150,Clouds
Iqaluit,Nunavut,2021-08-19 07:00:00,2021-08-19 08:40:52,2021-08-20 00:34:46,6.52,6.52,1006,100,6.52,100,10000.0,0.0,0,Rain
Iqaluit,Nunavut,2021-08-20 07:00:00,2021-08-20 08:43:50,2021-08-21 00:31:20,7.55,3.89,1009,93,6.49,100,10000.0,6.69,320,Clouds
Iqaluit,Nunavut,2021-08-21 07:00:00,2021-08-21 08:46:49,2021-08-22 00:27:54,7.68,4.85,1016,81,4.63,100,10000.0,4.63,340,Clouds
Iqaluit,Nunavut,2021-08-22 07:00:00,2021-08-22 08:49:46,2021-08-23 00:24:26,6.13,6.13,1015,87,4.13,100,10000.0,1.03,150,Clouds
Iqaluit,Nunavut,2021-08-23 07:00:00,2021-08-23 08:52:43,2021-08-24 00:20:59,5.3,0.65,998,100,5.3,75,10000.0,7.72,160,Clouds
