city,province,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather
Iqaluit,Nunavut,2023-12-23 08:00:00,2023-12-23 14:22:53,2023-12-23 18:43:07,-8.33,-15.27,1001,85,-10.17,100,2816,4.92,150,Snow
Iqaluit,Nunavut,2023-12-24 08:00:00,2023-12-24 14:23:08,2023-12-24 18:43:50,-10.72,-17.05,1012,79,-13.33,100,10000,3.6,350,Snow
Iqaluit,Nunavut,2023-12-25 08:00:00,2023-12-25 14:23:14,2023-12-25 18:44:42,-7.13,-14.13,1009,86,-8.85,100,6437,10.29,130,Snow
Iqaluit,Nunavut,2023-12-26 08:00:00,2023-12-26 14:23:12,2023-12-26 18:45:42,-8.42,-15.16,986,86,-10.13,100,9656,4.63,300,Snow
Iqaluit,Nunavut,2023-12-27 08:00:00,2023-12-27 14:23:01,2023-12-27 18:46:49,-9.98,-16.98,1007,62,-15.26,75,10000,4.63,320,Clouds
Iqaluit,Nunavut,2023-12-28 08:00:00,2023-12-28 14:22:43,2023-12-28 18:48:05,-17.4,-24.4,1015,70,-21.14,20,10000,9.26,320,Clouds
Iqaluit,Nunavut,2023-12-29 08:00:00,2023-12-29 14:22:16,2023-12-29 18:49:28,-13.21,-13.21,1021,78,-15.91,100,805,0,0,Fog
Iqaluit,Nunavut,2023-12-30 08:00:00,2023-12-30 14:21:42,2023-12-30 18:50:59,-5.07,-12.07,1011,89,-6.43,75,10000,7.72,140,Clouds
Iqaluit,Nunavut,2023-12-31 08:00:00,2023-12-31 14:21:00,2023-12-31 18:52:37,-9.85,-16.85,997,81,-12.2,100,2414,10.29,330,Snow
Iqaluit,Nunavut,2024-01-01 08:00:00,2024-01-01 14:20:11,2024-01-01 18:54:22,-26.32,-33.32,999,74,-29.27,40,10000,2.1,330,Clouds
Iqaluit,Nunavut,2024-01-02 08:00:00,2024-01-02 14:19:14,2024-01-02 18:56:14,-25.92,-32.88,995,66,-29.98,75,10000,2.1,340,Clouds
Iqaluit,Nunavut,2024-01-03 08:00:00,2024-01-03 14:18:11,2024-01-03 18:58:12,-19.23,-26.23,989,70,-22.91,40,3219,12.86,340,Clouds
Iqaluit,Nunavut,2024-01-04 08:00:00,2024-01-04 14:17:00,2024-01-04 19:00:16,-15.99,-21.2,990,51,-23.03,0,10000,2.06,140,Clear
Iqaluit,Nunavut,2024-01-05 08:00:00,2024-01-05 14:15:43,2024-01-05 19:02:26,-20.09,-24.77,998,77,-22.78,75,10000,1.54,20,Clouds
Iqaluit,Nunavut,2024-01-06 08:00:00,2024-01-06 14:14:20,2024-01-06 19:04:42,-22.92,-28.01,1005,70,-26.5,0,10000,1.54,350,Clear
Iqaluit,Nunavut,2024-01-07 08:00:00,2024-01-07 14:12:51,2024-01-07 19:07:03,-21.62,-28.62,1016,70,-25.24,0,10000,3.09,350,Clear
