city,province,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather
Whitehorse,Yukon,2023-08-25 07:00:00,2023-08-25 13:36:06,2023-08-26 04:29:00,14.8,13.67,1017,51,4.77,40,10000,5.14,160,Clouds
Whitehorse,Yukon,2023-08-26 07:00:00,2023-08-26 13:38:35,2023-08-27 04:25:58,15.78,14.98,1015,60,8.04,75,10000,4.12,150,Clouds
Whitehorse,Yukon,2023-08-27 07:00:00,2023-08-27 13:41:03,2023-08-28 04:22:56,17.63,16.88,1016,55,8.49,20,10000,4.63,170,Clouds
Whitehorse,Yukon,2023-08-28 07:00:00,2023-08-28 13:43:31,2023-08-29 04:19:53,19.45,18.78,1014,51,9.06,0,10000,2.06,0,Clear
Whitehorse,Yukon,2023-08-29 07:00:00,2023-08-29 13:45:59,2023-08-30 04:16:50,18.55,17.9,1013,55,9.35,0,10000,5.14,160,Clear
Whitehorse,Yukon,2023-08-30 07:00:00,2023-08-30 13:48:26,2023-08-31 04:13:46,16.22,15.44,1011,59,8.21,75,10000,3.09,140,Clouds
Whitehorse,Yukon,2023-08-31 07:00:00,2023-08-31 13:50:54,2023-09-01 04:10:41,12.72,11.82,1008,68,6.97,75,10000,6.71,160,Clouds
Whitehorse,Yukon,2023-09-01 07:00:00,2023-09-01 13:53:21,2023-09-02 04:07:37,13.16,12.2,1003,64,6.51,100,10000,8.23,160,Clouds
Whitehorse,Yukon,2023-09-02 07:00:00,2023-09-02 13:55:47,2023-09-03 04:04:31,13.94,12.54,1006,44,1.9,75,10000,5.14,170,Clouds
Whitehorse,Yukon,2023-09-03 07:00:00,2023-09-03 13:58:14,2023-09-04 04:01:26,4.22,2.69,1014,93,3.19,100,10000,1.79,20,Clouds
Whitehorse,Yukon,2023-09-04 07:00:00,2023-09-04 14:00:40,2023-09-05 03:58:19,8.59,5.57,1009,64,2.17,100,10000,5.66,150,Clouds
Whitehorse,Yukon,2023-09-05 07:00:00,2023-09-05 14:03:06,2023-09-06 03:55:13,10.29,9.36,1011,76,6.25,100,10000,1.79,170,Clouds
Whitehorse,Yukon,2023-09-06 07:00:00,2023-09-06 14:05:32,2023-09-07 03:52:06,12.1,10.98,1009,62,5.05,20,10000,6.17,170,Clouds
Whitehorse,Yukon,2023-09-07 07:00:00,2023-09-07 14:07:57,2023-09-08 03:48:59,9.92,7.09,1005,66,3.87,40,10000,6.17,170,Clouds
Whitehorse,Yukon,2023-09-08 07:00:00,2023-09-08 14:10:23,2023-09-09 03:45:52,10.29,9.1,1011,66,4.22,75,10000,7.72,170,Clouds
Whitehorse,Yukon,2023-09-09 07:00:00,2023-09-09 14:12:48,2023-09-10 03:42:44,10.9,9.77,1017,66,4.81,75,10000,6.69,150,Clouds
Whitehorse,Yukon,2023-09-10 07:00:00,2023-09-10 14:15:13,2023-09-11 03:39:36,12.82,11.78,1013,62,5.73,75,10000,5.14,160,Clouds
Whitehorse,Yukon,2023-09-11 07:00:00,2023-09-11 14:17:38,2023-09-12 03:36:28,11.66,10.24,1004,52,2.14,0,10000,5.14,180,Clear
Whitehorse,Yukon,2023-09-12 07:00:00,2023-09-12 14:20:02,2023-09-13 03:33:20,10.29,9.1,1002,66,4.22,75,10000,8.75,160,Clouds
Whitehorse,Yukon,2023-09-13 07:00:00,2023-09-13 14:22:27,2023-09-14 03:30:12,7.1,5.6,1004,75,2.98,75,10000,2.24,200,Clouds
Whitehorse,Yukon,2023-09-14 07:00:00,2023-09-14 14:24:52,2023-09-15 03:27:03,8.93,6,1011,61,1.82,100,10000,5.66,180,Clouds
Whitehorse,Yukon,2023-09-15 07:00:00,2023-09-15 14:27:16,2023-09-16 03:23:54,6.66,2.74,1002,78,3.1,20,10000,6.71,150,Clouds
Whitehorse,Yukon,2023-09-16 07:00:00,2023-09-16 14:29:41,2023-09-17 03:20:46,6.72,2.83,1006,61,-0.23,20,10000,6.69,150,Clouds
Whitehorse,Yukon,2023-09-17 07:00:00,2023-09-17 14:32:05,2023-09-18 03:17:37,9.87,6.72,993,61,2.71,100,10000,7.2,160,Rain
Whitehorse,Yukon,2023-09-18 07:00:00,2023-09-18 14:34:29,2023-09-19 03:14:28,7.72,5.19,992,84,5.19,75,10000,4.02,150,Rain
Whitehorse,Yukon,2023-09-19 07:00:00,2023-09-19 14:36:54,2023-09-20 03:11:19,6.66,3.45,1001,72,1.98,100,10000,4.92,150,Rain
Whitehorse,Yukon,2023-09-20 07:00:00,2023-09-20 14:39:18,2023-09-21 03:08:10,4.84,2.65,1015,83,2.2,40,10000,2.57,220,Clouds
Whitehorse,Yukon,2023-09-21 07:00:00,2023-09-21 14:41:43,2023-09-22 03:05:02,8.67,5.87,1005,61,1.58,75,10000,5.14,160,Rain
Whitehorse,Yukon,2023-09-22 07:00:00,2023-09-22 14:44:08,2023-09-23 03:01:53,6.66,5.51,1012,90,5.14,100,10000,1.79,180,Rain
Whitehorse,Yukon,2023-09-23 07:00:00,2023-09-23 14:46:32,2023-09-24 02:58:44,2.1,2.1,1011,93,1.09,40,10000,1.03,250,Rain
Whitehorse,Yukon,2023-09-24 07:00:00,2023-09-24 14:48:57,2023-09-25 02:55:36,0.16,-2,1004,89,-1.27,0,10000,1.79,250,Clear
Whitehorse,Yukon,2023-09-25 07:00:00,2023-09-25 14:51:22,2023-09-26 02:52:27,4.22,4.22,1007,93,3.19,100,10000,0.89,280,Rain
Whitehorse,Yukon,2023-09-26 07:00:00,2023-09-26 14:53:48,2023-09-27 02:49:19,3.78,1.39,1008,96,3.2,100,10000,2.57,320,Rain
Whitehorse,Yukon,2023-09-27 07:00:00,2023-09-27 14:56:13,2023-09-28 02:46:11,5.29,4.49,1000,93,4.25,100,10000,1.34,160,Rain
Whitehorse,Yukon,2023-09-28 07:00:00,2023-09-28 14:58:39,2023-09-29 02:43:03,8.16,6.25,1008,93,7.1,100,10000,3.09,180,Rain
Whitehorse,Yukon,2023-09-29 07:00:00,2023-09-29 15:01:05,2023-09-30 02:39:56,6.04,4.08,1014,97,5.6,100,8047,2.57,350,Rain
Whitehorse,Yukon,2023-09-30 07:00:00,2023-09-30 15:03:31,2023-10-01 02:36:49,4.22,1.5,1014,97,3.79,100,10000,3.09,160,Clouds
Whitehorse,Yukon,2023-10-01 07:00:00,2023-10-01 15:05:58,2023-10-02 02:33:42,5.6,1.39,1008,72,0.96,100,10000,6.69,140,Clouds
Whitehorse,Yukon,2023-10-02 07:00:00,2023-10-02 15:08:25,2023-10-03 02:30:35,6.04,2.35,1008,81,3.03,75,10000,5.66,180,Clouds
Whitehorse,Yukon,2023-10-03 07:00:00,2023-10-03 15:10:52,2023-10-04 02:27:29,6.66,2.75,1002,72,1.98,40,10000,6.69,170,Clouds
Whitehorse,Yukon,2023-10-04 07:00:00,2023-10-04 15:13:19,2023-10-05 02:24:23,1.04,-2.71,1018,62,-4.8,100,10000,3.58,310,Snow
Whitehorse,Yukon,2023-10-05 07:00:00,2023-10-05 15:15:47,2023-10-06 02:21:17,-2.9,-6.54,1026,79,-5.67,20,10000,2.57,170,Clouds
Whitehorse,Yukon,2023-10-06 07:00:00,2023-10-06 15:18:16,2023-10-07 02:18:12,6.04,1.3,1019,93,5,75,10000,8.75,170,Rain
Whitehorse,Yukon,2023-10-07 07:00:00,2023-10-07 15:20:45,2023-10-08 02:15:07,8.31,5.87,1007,81,5.25,100,10000,4.12,170,Clouds
Whitehorse,Yukon,2023-10-08 07:00:00,2023-10-08 15:23:14,2023-10-09 02:12:03,9.22,6.32,990,81,6.13,100,10000,5.81,150,Rain
Whitehorse,Yukon,2023-10-09 07:00:00,2023-10-09 15:25:44,2023-10-10 02:08:59,6.66,5.51,991,90,5.14,100,10000,1.79,230,Rain
Whitehorse,Yukon,2023-10-10 07:00:00,2023-10-10 15:28:14,2023-10-11 02:05:56,7.72,3.69,987,75,3.57,100,10000,8.05,160,Clouds
Whitehorse,Yukon,2023-10-11 07:00:00,2023-10-11 15:30:44,2023-10-12 02:02:54,3.78,2.79,997,80,0.65,75,10000,1.34,210,Clouds
Whitehorse,Yukon,2023-10-12 07:00:00,2023-10-12 15:33:15,2023-10-13 01:59:52,0.6,-1.49,1008,86,-1.3,75,10000,1.79,250,Clouds
Whitehorse,Yukon,2023-10-13 07:00:00,2023-10-13 15:35:47,2023-10-14 01:56:50,7.1,2.18,999,87,5.09,75,10000,10.8,150,Rain
Whitehorse,Yukon,2023-10-14 07:00:00,2023-10-14 15:38:19,2023-10-15 01:53:49,6.66,3.66,1000,78,3.1,40,10000,4.47,180,Clouds
Whitehorse,Yukon,2023-10-15 07:00:00,2023-10-15 15:40:52,2023-10-16 01:50:49,5.6,1.8,1008,81,2.6,75,10000,5.66,180,Clouds
Whitehorse,Yukon,2023-10-16 07:00:00,2023-10-16 15:43:25,2023-10-17 01:47:50,3.78,0.35,1013,89,2.14,0,10000,4.02,180,Clear
Whitehorse,Yukon,2023-10-17 07:00:00,2023-10-17 15:45:58,2023-10-18 01:44:52,5.73,1.05,998,90,4.22,100,10000,8.23,170,Clouds
Whitehorse,Yukon,2023-10-18 07:00:00,2023-10-18 15:48:33,2023-10-19 01:41:54,6.04,6.04,990,100,6.04,100,10000,0,0,Clouds
Whitehorse,Yukon,2023-10-19 07:00:00,2023-10-19 15:51:07,2023-10-20 01:38:57,7.25,4.09,990,89,5.56,100,10000,5.14,140,Rain
Whitehorse,Yukon,2023-10-20 07:00:00,2023-10-20 15:53:42,2023-10-21 01:36:01,-1.84,-5.79,1008,86,-3.63,100,10000,3.09,320,Snow
Whitehorse,Yukon,2023-10-21 07:00:00,2023-10-21 15:56:18,2023-10-22 01:33:06,-7.28,-12.34,1024,67,-11.81,40,10000,3.09,330,Clouds
Whitehorse,Yukon,2023-10-22 07:00:00,2023-10-22 15:58:54,2023-10-23 01:30:11,-8.34,-15.34,1028,57,-14.6,75,10000,5.14,300,Clouds
Whitehorse,Yukon,2023-10-23 07:00:00,2023-10-23 16:01:31,2023-10-24 01:27:18,-8.96,-13.73,1027,62,-14.28,100,10000,2.57,340,Snow
