city,province,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather
Yellowknife,Northwest Territories,2023-04-17 07:00:00,2023-04-17 12:05:50,2023-04-18 03:07:43,1.55,-3.56,1014,69,-3.11,75,10000,6.17,110,Clouds
Yellowknife,Northwest Territories,2023-04-18 07:00:00,2023-04-18 12:02:34,2023-04-19 03:10:32,-0.33,-6.64,1014,74,-3.93,40,10000,7.72,70,Clouds
Yellowknife,Northwest Territories,2023-04-19 07:00:00,2023-04-19 11:59:20,2023-04-20 03:13:21,-1.42,-6.46,1025,71,-5.47,20,10000,4.63,50,Clouds
Yellowknife,Northwest Territories,2023-04-20 07:00:00,2023-04-20 11:56:05,2023-04-21 03:16:11,-1.67,-6.35,1034,59,-7.85,0,10000,4.02,80,Clear
Yellowknife,Northwest Territories,2023-04-21 07:00:00,2023-04-21 11:52:51,2023-04-22 03:19:01,-0.96,-5.16,1033,64,-6.24,20,10000,3.6,80,Clouds
Yellowknife,Northwest Territories,2023-04-22 07:00:00,2023-04-22 11:49:38,2023-04-23 03:21:51,0.42,-2.7,1023,69,-4.07,75,10000,2.68,170,Clouds
Yellowknife,Northwest Territories,2023-04-23 07:00:00,2023-04-23 11:46:26,2023-04-24 03:24:42,0.85,-2.96,1016,60,-5.35,0,10000,3.6,110,Clear
Yellowknife,Northwest Territories,2023-04-24 07:00:00,2023-04-24 11:43:14,2023-04-25 03:27:33,-0.44,-3.04,1018,86,-2.25,0,10000,2.06,360,Clear
Yellowknife,Northwest Territories,2023-04-25 07:00:00,2023-04-25 11:40:03,2023-04-26 03:30:24,0.86,-3.92,1019,69,-3.7,20,10000,5.14,100,Clouds
Yellowknife,Northwest Territories,2023-04-26 07:00:00,2023-04-26 11:36:52,2023-04-27 03:33:16,0.76,-3.07,1010,100,0.76,100,10000,3.6,350,Clouds
Yellowknife,Northwest Territories,2023-04-27 07:00:00,2023-04-27 11:33:43,2023-04-28 03:36:08,-0.58,-0.58,1012,100,-0.58,100,1609,1.03,190,Snow
Yellowknife,Northwest Territories,2023-04-28 07:00:00,2023-04-28 11:30:34,2023-04-29 03:39:00,1.56,0.28,1007,86,-0.46,40,10000,1.34,130,Clouds
Yellowknife,Northwest Territories,2023-04-29 07:00:00,2023-04-29 11:27:26,2023-04-30 03:41:52,0.53,-2.46,1017,64,-4.86,0,10000,2.57,350,Clear
Yellowknife,Northwest Territories,2023-04-30 07:00:00,2023-04-30 11:24:19,2023-05-01 03:44:45,5.17,0.84,1017,36,-7.71,100,10000,6.69,130,Clouds
Yellowknife,Northwest Territories,2023-05-01 07:00:00,2023-05-01 11:21:12,2023-05-02 03:47:38,5.33,1.45,1010,53,-3.07,100,10000,5.66,60,Clouds
Yellowknife,Northwest Territories,2023-05-02 07:00:00,2023-05-02 11:18:07,2023-05-03 03:50:31,4.13,0.78,1006,73,-0.24,20,10000,4.02,320,Clouds
Yellowknife,Northwest Territories,2023-05-03 07:00:00,2023-05-03 11:15:03,2023-05-04 03:53:24,5.83,2.81,1003,63,-0.58,40,10000,4.12,100,Clouds
Yellowknife,Northwest Territories,2023-05-04 07:00:00,2023-05-04 11:12:00,2023-05-05 03:56:18,10.49,8.69,1004,42,-1.65,20,10000,5.66,300,Clouds
Yellowknife,Northwest Territories,2023-05-05 07:00:00,2023-05-05 11:08:58,2023-05-06 03:59:11,5.07,0.92,1014,61,-1.61,20,10000,6.17,60,Clouds
Yellowknife,Northwest Territories,2023-05-06 07:00:00,2023-05-06 11:05:57,2023-05-07 04:02:04,7.18,3.79,1016,69,1.88,20,10000,5.66,70,Clouds
Yellowknife,Northwest Territories,2023-05-07 07:00:00,2023-05-07 11:02:57,2023-05-08 04:04:57,9.04,5.5,1016,47,-1.47,20,10000,7.72,140,Clouds
Yellowknife,Northwest Territories,2023-05-08 07:00:00,2023-05-08 10:59:58,2023-05-09 04:07:50,8.22,5.31,1013,46,-2.39,75,10000,5.14,140,Clouds
Yellowknife,Northwest Territories,2023-05-09 07:00:00,2023-05-09 10:57:01,2023-05-10 04:10:43,3.75,1.85,1010,87,1.79,20,10000,2.06,160,Clouds
