city,province,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather
Yellowknife,Northwest Territories,2024-02-11 08:00:00,2024-02-11 15:38:32,2024-02-12 00:04:55,-14.19,-20.66,1003,96,-14.63,40,10000,3.09,60,Snow
Yellowknife,Northwest Territories,2024-02-12 08:00:00,2024-02-12 15:35:33,2024-02-13 00:07:55,-16.51,-23.46,1012,98,-16.73,0,10000,3.09,40,Clear
Yellowknife,Northwest Territories,2024-02-13 08:00:00,2024-02-13 15:32:33,2024-02-14 00:10:54,-15.51,-19.54,1017,92,-16.41,100,805,1.54,140,Snow
Yellowknife,Northwest Territories,2024-02-14 08:00:00,2024-02-14 15:29:32,2024-02-15 00:13:53,-27.06,-34.06,1029,84,-28.76,100,10000,2.57,60,Clouds
Yellowknife,Northwest Territories,2024-02-15 08:00:00,2024-02-15 15:26:30,2024-02-16 00:16:52,-25.87,-32.87,1041,90,-26.91,100,10000,4.02,170,Snow
Yellowknife,Northwest Territories,2024-02-16 08:00:00,2024-02-16 15:23:27,2024-02-17 00:19:49,-18.19,-23.76,1030,95,-18.73,20,10000,2.06,220,Clouds
Yellowknife,Northwest Territories,2024-02-17 08:00:00,2024-02-17 15:20:23,2024-02-18 00:22:47,-13.05,-20.05,1015,85,-14.83,0,10000,6.69,320,Clear
Yellowknife,Northwest Territories,2024-02-18 08:00:00,2024-02-18 15:17:18,2024-02-19 00:25:44,-21.45,-28.45,1028,90,-22.53,20,10000,5.66,70,Clouds
Yellowknife,Northwest Territories,2024-02-19 08:00:00,2024-02-19 15:14:12,2024-02-20 00:28:40,-24.3,-30.9,1015,71,-27.7,75,10000,2.06,140,Clouds
Yellowknife,Northwest Territories,2024-02-20 08:00:00,2024-02-20 15:11:05,2024-02-21 00:31:36,-18.72,-25.72,1025,91,-19.71,100,10000,4.12,60,Snow
